Student_ID,Date,Persona,Age,Gender,Department,Year_of_Study,Sleep_Hours,Study_Hours,Screen_Time_Hours,Stress_Level,Focus_Score,Mood_Score,Attendance_Percentage,Assignment_Completion,Productivity_Score,Exam_Score,Burnout_Risk,Study_Efficiency,Wellness_Score
1,2025-01-01,High Performer,18,Female,Information Technology,2,7.9,5.4,4.6,5.5,7.8,7.8,100.0,99.8,51.6,65.0,Low,10.15625,3.85
1,2025-01-02,High Performer,18,Female,Information Technology,2,7.9,5.0,3.5,4.2,6.1,6.3,96.2,89.2,43.5,49.9,Low,8.316666666666666,3.79
1,2025-01-03,High Performer,18,Female,Information Technology,2,6.8,4.1,5.5,3.8,8.1,6.6,100.0,89.6,50.1,52.2,Low,10.23529411764706,3.5600000000000005
1,2025-01-04,High Performer,18,Female,Information Technology,2,7.8,4.9,3.7,3.4,9.9,8.0,100.0,100.0,63.3,64.0,Low,10.847457627118644,4.5
1,2025-01-05,High Performer,18,Female,Information Technology,2,7.7,3.5,2.7,4.2,8.7,8.2,100.0,90.3,53.5,54.8,Low,12.177777777777777,4.279999999999999
1,2025-01-06,High Performer,18,Female,Information Technology,2,6.0,5.0,5.1,4.3,6.2,8.3,88.4,93.7,48.0,49.0,Low,8.166666666666666,3.6000000000000005
1,2025-01-07,High Performer,18,Female,Information Technology,2,8.3,6.4,3.2,3.7,8.3,9.0,100.0,100.0,63.2,68.7,Low,9.283783783783784,4.909999999999999
1,2025-01-08,High Performer,18,Female,Information Technology,2,6.5,6.3,5.4,3.9,9.0,8.4,100.0,100.0,63.8,65.7,Low,9.0,3.95
1,2025-01-09,High Performer,18,Female,Information Technology,2,7.5,7.1,1.4,4.8,8.1,7.7,95.6,100.0,59.3,68.6,Low,8.469135802469136,3.8700000000000006
1,2025-01-10,High Performer,18,Female,Information Technology,2,7.8,7.0,3.5,3.2,7.5,8.9,100.0,100.0,62.4,72.5,Low,9.0625,4.83
1,2025-01-11,High Performer,18,Female,Information Technology,2,7.6,6.5,3.3,3.7,7.6,5.8,100.0,100.0,55.6,68.4,Low,9.120000000000001,3.67
1,2025-01-12,High Performer,18,Female,Information Technology,2,7.3,4.1,3.6,3.7,7.2,7.8,100.0,94.1,49.4,54.9,Low,10.764705882352942,4.1499999999999995
1,2025-01-13,High Performer,18,Female,Information Technology,2,7.7,5.4,2.1,4.0,8.1,10.0,100.0,100.0,60.6,61.9,Low,9.671875,4.88
1,2025-01-14,High Performer,18,Female,Information Technology,2,6.6,6.6,4.8,4.8,7.1,9.4,94.5,100.0,57.5,53.3,Low,7.0131578947368425,4.02
1,2025-01-15,High Performer,18,Female,Information Technology,2,6.7,4.9,4.1,3.5,6.4,8.1,94.7,80.0,49.7,48.1,Low,8.152542372881356,4.06
1,2025-01-16,High Performer,18,Female,Information Technology,2,8.7,4.7,3.7,4.8,6.8,8.2,100.0,93.1,48.1,60.2,Low,10.56140350877193,4.5
1,2025-01-17,High Performer,18,Female,Information Technology,2,6.0,6.3,2.8,2.7,8.5,8.3,100.0,100.0,64.2,74.1,Low,10.150684931506849,4.08
1,2025-01-18,High Performer,18,Female,Information Technology,2,7.7,5.8,3.3,5.9,8.5,6.8,100.0,100.0,53.2,63.9,Low,9.397058823529411,3.35
1,2025-01-19,High Performer,18,Female,Information Technology,2,8.4,4.7,5.0,4.4,8.8,9.9,100.0,100.0,60.3,61.1,Low,10.719298245614034,5.01
1,2025-01-20,High Performer,18,Female,Information Technology,2,6.8,5.4,4.3,4.3,8.8,8.0,100.0,100.0,59.1,70.6,Low,11.031249999999998,3.83
1,2025-01-21,High Performer,18,Female,Information Technology,2,8.0,4.6,2.9,4.5,7.8,8.7,100.0,92.5,53.5,59.2,Low,10.571428571428573,4.460000000000001
1,2025-01-22,High Performer,18,Female,Information Technology,2,6.3,4.6,4.9,4.2,6.8,8.2,83.8,94.3,50.1,54.1,Low,9.660714285714286,3.7199999999999998
1,2025-01-23,High Performer,18,Female,Information Technology,2,7.5,4.4,4.4,4.6,9.1,9.1,100.0,100.0,58.4,52.6,Low,9.74074074074074,4.3500000000000005
