Student_ID,Date,Persona,Age,Gender,Department,Year_of_Study,Sleep_Hours,Study_Hours,Screen_Time_Hours,Stress_Level,Focus_Score,Mood_Score,Attendance_Percentage,Assignment_Completion,Productivity_Score,Exam_Score,Burnout_Risk,Study_Efficiency,Wellness_Score,Productivity_Efficiency,Digital_Distraction_Score,Wellness_Index,Study_Consistency_Score,Sleep_Deficit,Burnout_Risk_Score,Performance_Category,High_Risk_Flag,Student_Segment
1,2025-01-01,High Performer,18,Female,Information Technology,2,7.9,5.4,4.6,5.5,7.8,7.8,100.0,99.8,51.6,65.0,Low,10.15625,3.85,8.06,2.02,3.85,8.91,0.1,3.37,Good,0,3
1,2025-01-02,High Performer,18,Female,Information Technology,2,7.9,5.0,3.5,4.2,6.1,6.3,96.2,89.2,43.5,49.9,Low,8.316666666666666,3.79,7.25,2.16,3.79,8.91,0.1,2.78,Average,0,3
1,2025-01-03,High Performer,18,Female,Information Technology,2,6.8,4.1,5.5,3.8,8.1,6.6,100.0,89.6,50.1,52.2,Low,10.23529411764706,3.5600000000000005,9.82,2.83,3.56,8.91,1.2,3.32,Average,0,3
1,2025-01-04,High Performer,18,Female,Information Technology,2,7.8,4.9,3.7,3.4,9.9,8.0,100.0,100.0,63.3,64.0,Low,10.847457627118644,4.5,10.73,0.79,4.5,8.91,0.2,2.36,Good,0,3
1,2025-01-05,High Performer,18,Female,Information Technology,2,7.7,3.5,2.7,4.2,8.7,8.2,100.0,90.3,53.5,54.8,Low,12.177777777777775,4.279999999999999,11.89,1.09,4.28,8.91,0.3,2.49,Average,0,3
1,2025-01-06,High Performer,18,Female,Information Technology,2,6.0,5.0,5.1,4.3,6.2,8.3,88.4,93.7,48.0,49.0,Low,8.166666666666666,3.6000000000000005,8.0,3.08,3.6,8.91,2.0,3.51,Average,0,2
1,2025-01-07,High Performer,18,Female,Information Technology,2,8.3,6.4,3.2,3.7,8.3,9.0,100.0,100.0,63.2,68.7,Low,9.283783783783784,4.909999999999999,8.54,0.68,4.91,8.91,0.0,2.22,Good,0,3
1,2025-01-08,High Performer,18,Female,Information Technology,2,6.5,6.3,5.4,3.9,9.0,8.4,100.0,100.0,63.8,65.7,Low,9.0,3.95,8.74,1.75,3.95,8.91,1.5,3.25,Good,0,3
1,2025-01-09,High Performer,18,Female,Information Technology,2,7.5,7.1,1.4,4.8,8.1,7.7,95.6,100.0,59.3,68.6,Low,8.469135802469136,3.870000000000001,7.32,-0.53,3.87,8.91,0.5,2.58,Good,0,3
1,2025-01-10,High Performer,18,Female,Information Technology,2,7.8,7.0,3.5,3.2,7.5,8.9,100.0,100.0,62.4,72.5,Low,9.0625,4.83,7.8,1.0,4.83,8.91,0.2,2.15,Good,0,3
