Student_ID,Date,Persona,Age,Gender,Department,Year_of_Study,Sleep_Hours,Study_Hours,Screen_Time_Hours,Social_Media_Hours,YouTube_Hours,Gaming_Hours,Phone_Checks_Per_Day,Stress_Level,Focus_Score,Mood_Score,Physical_Activity_Hours,Attendance_Percentage,Assignment_Completion,Productivity_Score,Quiz_Score,Exam_Score,GPA,Burnout_Risk
1,2025-01-01,High Performer,18,Female,Information Technology,2,7.9,5.4,4.6,3.2,1.4,0.9,47,5.6,8.8,7.5,1.0,94.7,93.1,55.8,35.4,70.3,2.81,Low
1,2025-01-02,High Performer,18,Female,Information Technology,2,7.1,4.5,4.3,1.3,0.8,1.7,48,3.8,8.1,6.6,0.6,89.3,95.4,52.3,48.3,72.3,2.89,Low
1,2025-01-03,High Performer,18,Female,Information Technology,2,7.0,7.4,4.0,1.2,1.9,0.4,43,4.2,6.0,6.7,1.3,93.0,98.0,51.8,43.8,79.4,3.18,Low
1,2025-01-04,High Performer,18,Female,Information Technology,2,6.9,5.0,5.1,2.3,0.6,1.2,41,3.6,7.3,8.6,0.8,97.2,98.7,51.0,62.8,78.6,3.14,Low
1,2025-01-05,High Performer,18,Female,Information Technology,2,7.1,5.3,2.9,1.0,1.9,1.7,44,3.9,9.0,8.4,2.0,88.8,96.4,58.3,42.5,90.6,3.62,Low
1,2025-01-06,High Performer,18,Female,Information Technology,2,8.2,5.6,3.7,2.1,0.5,0.9,48,4.4,9.5,7.5,1.7,88.0,93.0,62.3,62.9,84.0,3.36,Low
1,2025-01-07,High Performer,18,Female,Information Technology,2,7.6,6.5,3.3,1.7,1.3,0.3,41,4.3,8.3,8.0,1.0,90.8,89.3,59.0,56.0,81.8,3.27,Low
1,2025-01-08,High Performer,18,Female,Information Technology,2,7.8,7.4,4.2,2.2,1.5,0.0,33,4.0,8.1,10.0,1.2,91.0,96.2,62.1,73.8,96.8,3.87,Low
1,2025-01-09,High Performer,18,Female,Information Technology,2,8.1,4.6,5.4,0.9,1.8,2.1,34,3.0,7.4,8.1,1.2,89.5,88.8,53.8,48.8,80.2,3.21,Low
1,2025-01-10,High Performer,18,Female,Information Technology,2,8.7,4.7,3.7,2.7,0.9,1.1,31,5.3,6.4,8.2,0.6,93.3,98.1,46.6,52.8,72.0,2.88,Low
1,2025-01-11,High Performer,18,Female,Information Technology,2,7.7,5.8,3.3,2.2,1.6,0.6,56,5.9,8.5,6.8,1.6,95.3,91.1,55.1,60.8,75.9,3.04,Low
1,2025-01-12,High Performer,18,Female,Information Technology,2,7.8,6.3,5.9,1.8,1.1,0.6,59,3.2,7.9,8.3,1.2,93.4,98.3,59.9,82.5,86.8,3.47,Low
1,2025-01-13,High Performer,18,Female,Information Technology,2,8.0,4.6,2.9,2.4,1.4,1.4,47,4.5,7.9,7.2,1.6,84.4,93.2,52.7,49.1,68.2,2.73,Low
1,2025-01-14,High Performer,18,Female,Information Technology,2,7.8,4.6,4.2,2.0,0.9,1.2,50,4.6,9.1,9.1,1.5,85.1,91.2,56.7,87.5,80.9,3.24,Low
1,2025-01-15,High Performer,18,Female,Information Technology,2,8.0,6.6,5.0,2.5,1.3,1.4,51,3.2,7.8,7.5,0.3,92.4,100.0,60.4,52.8,80.9,3.24,Low
